OH  S    MB
L    OP   OH

OH OP MB
L    S    OH

OH1,OH,0,90,80,80,80,60,60,80,50,50,50,50,50
MB1,MB,0,100,100,100,80,60,60,80,50,50,50,50,50
S1,S,1,70,100,80,80,60,60,80,50,50,50,50,50
OH2,OH,0,90,80,100,80,60,60,80,50,50,50,50,50
MB2,MB,0,100,100,100,80,60,60,80,50,50,50,50,50
OP1,OP,0,90,80,100,80,60,60,80,50,50,50,50,50
L1,L,1,50,50,100,80,90,60,80,50,50,50,50,50
OH3,OH,1,90,80,100,80,60,60,80,50,50,50,50,50
MB3,MB,0,100,100,100,80,60,60,80,50,50,50,50,50
S2,S,1,70,100,80,80,60,60,80,50,50,50,50,50
OH4,OH,1,90,80,100,80,60,60,80,50,50,50,50,50
MB4,MB,0,100,100,100,80,60,60,80,50,50,50,50,50
OP2,OP,1,90,80,100,80,60,60,80,50,50,50,50,50
L2,L,1,50,50,100,80,90,60,80,50,50,50,50,50
